SquareFeet,Bedrooms,Bathrooms,Neighborhood_Category,YearBuilt,Price
0.56,0.67,0,0,0.27,215355.2836
0.73,0.33,0.5,0,0.42,195014.2216
0.43,0,0,1,0.28,306891.0121
0.65,0,0,0.5,0.65,206786.7872
0.57,1,0.5,1,0.72,272436.2391
0.55,0,1,1,0.99,198208.8039
0.86,0,0,1,0.61,343429.3191
0.52,0.67,1,0,0.1,184992.3213
0.82,0.67,1,0.5,0.13,377998.5882
0.06,1,0.5,0.5,0.76,95961.92601
0.23,1,1,1,0.01,191113.7687
0.62,0.33,1,1,0.52,253358.645
0.17,0,0.5,1,0.59,132172.3926
0.74,0.67,1,1,0.55,231157.0277
0.04,0.67,0,0.5,0.37,118393.8232
0.7,0,0.5,1,0.61,267377.3997
0.56,1,0.5,0,0.08,190773.1486
0.44,0.67,0.5,1,0.38,172989.8049
0.84,1,0,0.5,0.41,239222.6678
0.07,0.67,1,0,0.17,143050.2018
0.84,0.67,1,0.5,0.69,405523.8283
0.67,0.33,1,0,0.39,263954.1541
0.38,0.67,0,1,0.18,148310.6202
0.17,0,1,0,0.89,151733.9225
0.76,0,1,0.5,0.89,307961.1074
0.72,0,0,0,0.76,276162.8618
0.4,1,0,0,0.73,243985.2055
0.19,0.67,1,0,0.65,88030.54185
0.61,1,0,0.5,0.03,282908.9817
0.48,0.33,0,0,0.9,240976.5518
0.14,0.67,0,0,0.21,104747.3346
0.59,0,0.5,1,0.13,347207.3896
0.23,0.33,0.5,0,0.79,77493.93144
0.67,0.33,1,1,0.82,331851.0817
0.01,0.67,1,0,0.89,110408.6708
0.13,0,0,0.5,0.61,127932.7568
0.37,1,1,0,0.45,228683.227
0.43,0.67,0.5,0,0.13,124711.7079
0.79,0,1,1,0.72,415850.7708
0.24,0.33,1,0.5,0.13,184819.9612
0.54,0.67,0.5,1,0.23,164855.9878
0.26,0.33,0.5,1,0.73,156928.0147
0.85,0,0,0.5,0.3,282457.8614
0.75,1,0,0.5,1,287591.6728
0.35,1,0,0,0.14,156313.5942
0.49,0.33,1,1,0.93,279764.371
0.9,0.33,1,1,0.17,366494.4806
0.09,0.33,1,0.5,0.8,244539.2817
0.48,0.67,0.5,0,0.62,239299.9945
0.34,0,1,0.5,0.62,249148.3447
0.48,0.33,0.5,0,0.59,304197.5798
0.28,0.33,1,0,0.89,89378.55062
0.95,0.33,1,0,0.54,427295.4046
0.8,1,0.5,1,0.1,328501.8015
0.63,0.33,0.5,0.5,0.55,215867.419
0.42,0,0.5,0,0.7,190058.8929
0.76,1,0,0.5,0.27,259751.1544
0.58,0,0,0,0.92,166810.3887
0.75,1,1,1,0.8,352932.1625
0.92,1,1,0.5,0.9,422042.9185
0.32,0.67,1,1,0.62,91423.61965
0.01,1,0,0,0.46,220053.8604
0.42,1,1,1,0.15,216148.2085
0.08,0,0.5,1,0.31,161587.1537
0.65,0,0.5,0.5,0.94,194967.9095
0.19,0.33,0,0,0.73,152828.7203
0.3,0.67,0.5,0,0.73,256725.9809
0.16,1,0.5,1,0.55,98039.3031
0.01,0.67,1,0.5,0.73,164858.1869
0.12,0.33,0.5,0.5,0.49,199373.1821
0.39,0.67,0.5,0.5,0.9,181245.4467
0.68,1,0,1,0.18,209700.7185
0.28,0,0.5,0,0.46,163053.3921
0.45,0.67,0.5,0,0.35,304004.6899
0.68,1,1,0.5,0.76,308830.9397
0.05,0.33,1,0.5,0.87,194294.0018
0.7,1,1,0.5,0.97,172777.3198
0.48,0.67,0,1,0.63,197656.0703
0.74,1,1,0.5,0.51,273365.4991
0.73,1,0.5,0,0.31,216047.2181
0.25,0.67,0,0.5,0.21,149586.1531
0.39,0.67,0.5,1,0.44,214171.0822
0.98,0.33,0.5,0,0.08,277419.0002
0.02,1,1,0,0.61,117295.3752
0.1,0,0,0.5,0.65,180760.8675
0.55,0.67,0,1,0.06,202715.1601
0.98,1,1,0,0.87,378403.571
0.79,0,0,1,0.15,257776.0924
0.95,0,0.5,1,1,266046.8779
0.71,1,0,0,0.11,337645.6762
0.51,1,0.5,0,0.61,240145.9703
0.51,1,0,1,0.3,92641.62211
0.71,0,0,0.5,0.63,152037.8828
0.28,1,1,0,0.1,149848.6164
0.56,0.67,1,0.5,0.77,220384.4345
0.9,0,0,0,0.38,305658.5639
0.92,0.67,0.5,0.5,0.65,318297.2566
0.75,0.67,1,0,0.48,230749.2763
0.35,1,1,0.5,0.28,201925.8409
0.2,0.67,1,1,0.45,149576.6811
0.36,1,0,0,0.97,171877.0663
0.79,0,0.5,0.5,0.66,245276.7339
0.08,0.67,0.5,1,0.75,288571.1272
0.1,1,0,0.5,0.01,87804.56037
0.99,0.33,0.5,0,0.45,267127.0106
0.5,1,1,1,0.21,221217.7693
0.13,0.33,0.5,1,0.69,218784.633
0.94,1,1,0,0.27,315607.0238
0.41,0.33,1,0.5,0.93,217967.9285
0.65,0.67,0,0,0.62,353343.634
0.23,0.33,1,0.5,0.48,187002.9639
0.74,0.67,0.5,0,0.39,222855.0833
0.88,0.67,0.5,0,0.62,366548.8223
0.64,1,0.5,0,0.2,259473.2793
0.51,0.67,0.5,0.5,0.03,212440.4224
0.86,0,0.5,0.5,0.96,237066.6856
0.15,0.33,1,0.5,0.46,158357.6481
0.87,1,0,1,0.99,255619.9978
0.36,0.67,0,1,0.04,190659.435
0.89,0.33,0.5,0.5,0.25,284985.4357
0.17,0.33,1,0.5,0.28,214741.2285
0.44,0,0,1,0.2,128693.0288
0.54,0.33,0.5,0,0.23,184051.9827
0.4,1,1,0,0.75,242865.2602
0.97,1,0,0.5,0.51,295356.7755
0.11,0.67,1,0,0.75,107868.9321
0.38,0.67,0.5,0.5,0.3,207380.1361
0.09,1,1,1,0.1,132828.8141
0.19,0.33,0,0.5,0.14,84493.69131
0.25,0.33,0,1,0.97,53360.86541
0.53,0,1,0,0.11,296199.3496
0.59,0.67,0,0.5,0.01,273924.5574
0.01,0.33,1,0.5,0.44,204340.7259
0.92,0.33,1,0.5,0.7,228582.097
0.03,0.67,0.5,1,0.51,237384.3466
0.94,1,0.5,0,0.07,312245.868
0.93,0.33,1,0.5,0.15,219408.625
0.26,0,0,0,0.75,201334.9416
0.68,0.33,0.5,1,0.63,221413.5776
0.58,0.33,0,0,0.45,306839.6219
0.32,0,1,0.5,0.24,126756.3572
0.75,1,0,0.5,0.52,328702.8347
0.54,0,0,1,0.82,141074.0284
0.58,0,1,0,0.08,220712.4613
0.76,0.67,0.5,0.5,0.2,319176.8399
0.3,0.33,0.5,1,0,245299.2099
0.2,1,0,0,0.63,51154.13113
0.85,0.33,1,0.5,0.44,314018.0283
0.21,1,1,1,0.68,222904.258
0.14,0,0.5,1,0.13,115697.7782
0.19,0.67,1,1,0.23,140714.7704
0.9,0,1,1,0.27,178353.1481
0.76,0.33,0,1,0.7,280022.0311
0.12,0.67,0,0,0.3,136418.4808
0.51,0.67,0.5,0.5,0.27,195803.9703
0.02,0.33,0.5,0,0.9,98933.43907
0.53,1,0,1,0.04,185052.5632
0.07,0.67,1,0.5,0.75,160764.4394
0.1,1,1,1,0.9,156394.2735
0.93,1,0,1,0.7,333464.149
0.39,1,0,0.5,0.14,211994.3282
0.46,0.67,0,0,0.37,252779.6909
0.53,0,0,0.5,0.35,288750.4043
0.54,0.67,1,0,0.23,185482.0606
0.25,0,1,1,0.58,119671.3689
0.2,0.67,0.5,1,0.66,148891.4193
0.8,0,0,0,0.45,235810.2236
0.88,0,0.5,1,0.85,357765.1172
0.4,0.67,1,0,0.39,216771.36
0.05,1,0.5,0,0.87,102580.4984
0.34,1,1,0.5,0.51,208774.1423
0.95,0,1,1,0.77,302454.6401
0.36,0.33,0.5,0.5,0.21,208558.7817
0.79,0.33,0.5,0.5,0.77,276434.5399
0.48,0.67,0,1,0.58,220786.712
0.88,0.67,1,0.5,0.32,354268.4752
0.31,0.67,0,1,0.96,142420.9723
0.98,0.33,0,1,0.42,299146.5954
0.74,1,1,0.5,0.14,321647.4527
0.32,0.67,0.5,1,0.01,216976.9081
0.9,0.67,0,1,0.99,243179.7034
0.51,1,0,1,0.48,184210.7736
0.62,0,1,1,0.86,175779.5682
